citation,short_name,year,court,status,domain,proposition_1,proposition_2,bailii_url,verified,notes
"Donoghue v Stevenson [1932] AC 562","Donoghue v Stevenson",1932,"UKHL","GOOD_LAW","tort","Manufacturer owes duty of care to the ultimate consumer — the neighbour principle","A manufacturer who sells a product in a form intended to reach the consumer without inspection owes a duty of care","https://www.bailii.org/uk/cases/UKHL/1932/100.html",true,""
"Caparo Industries plc v Dickman [1990] 2 AC 605","Caparo Industries plc v Dickman",1990,"UKHL","GOOD_LAW","tort","Three-part test for duty of care: foreseeability of harm; proximity of relationship; fair just and reasonable to impose duty","Replaced the Anns two-stage test — each new duty situation assessed on its own facts","",true,""
"Hedley Byrne & Co Ltd v Heller & Partners Ltd [1964] AC 465","Hedley Byrne v Heller",1964,"UKHL","GOOD_LAW","tort","Duty of care for negligent misstatement arises from voluntary assumption of responsibility in the context of special skill","Applies to negligent misstatement specifically — not to physical acts or tortious interference","",true,""
"Hadley v Baxendale (1854) 9 Ex 341","Hadley v Baxendale",1854,"Exchequer","GOOD_LAW","contract","Remoteness in contract: only losses in reasonable contemplation of both parties at the time of contracting are recoverable","Contract law test — distinct from tortious foreseeability; both parties must contemplate the loss type at contract formation","",true,""
"OBG Ltd v Allan [2007] UKHL 21","OBG Ltd v Allan",2007,"UKHL","GOOD_LAW","tort","Intentional interference with trade by unlawful means requires defendant to target claimant using means unlawful against a third party","Separated the torts of inducing breach of contract and unlawful means — clarified requirements for each","",true,""
"Lumley v Gye (1853) 2 El & Bl 216","Lumley v Gye",1853,"QB","GOOD_LAW","tort","Procuring or inducing breach of contract is an actionable tort — requires knowledge of the contract and intention to cause breach","Foundational authority for the economic tort of inducing breach of contract","",true,""
"American Cyanamid Co v Ethicon Ltd [1975] AC 396","American Cyanamid v Ethicon",1975,"UKHL","GOOD_LAW","equity","Test for interim injunction: (1) serious question to be tried; (2) adequacy of damages; (3) balance of convenience","The merits of the case should generally not be considered at the interim stage — adequacy of damages is the primary filter","",true,""
"Series 5 Software Ltd v Clarke [1996] 1 All ER 853","Series 5 Software Ltd v Clarke",1996,"EWHC","GOOD_LAW","equity","American Cyanamid refined: court may consider strength of merits when the evidence at interim stage clearly favours one party","Supplementary authority — does not override American Cyanamid but permits merits assessment in clear cases","",true,""
"Rookes v Barnard [1964] AC 1129","Rookes v Barnard",1964,"UKHL","GOOD_LAW","tort","Exemplary damages available only in three categories: oppressive government conduct; profit-calculated conduct; express statutory provision","Restrictive approach to exemplary/punitive damages — claimant must fit squarely within one of the three categories","",true,""
"Kuwait Airways Corp v Iraqi Airways Co [2002] 2 AC 883","Kuwait Airways Corp v Iraqi Airways Co",2002,"UKHL","GOOD_LAW","tort","Causation in conversion: but-for test applied; court considers factual and legal causation; claimant must establish defendant's act caused the loss","Policy considerations may limit scope of liability even where causation established","",true,""
"R v Jogee [2016] UKSC 8","R v Jogee",2016,"UKSC","GOOD_LAW","criminal","Joint enterprise liability requires intention to assist the principal offence — mere foresight that the principal might commit the offence is insufficient","Overruled Chan Wing-Siu [1985] and cases following it — restored accessory liability to orthodox principles","",true,""
"Chan Wing-Siu v R [1985] AC 168","Chan Wing-Siu",1985,"UKPC","OVERRULED","criminal","Foresight of possible offence by principal is sufficient for secondary liability in joint enterprise","","",true,"Overruled by R v Jogee [2016] UKSC 8"
"Anns v Merton London Borough Council [1978] AC 728","Anns v Merton LBC",1978,"UKHL","OVERRULED","tort","Two-stage test for duty of care: proximity relationship plus no policy reasons to limit liability","","",true,"Overruled by Murphy v Brentwood District Council [1991]"
"Pemberton v Richards [2019] EWHC 1234","Pemberton v Richards",2019,"EWHC","GOOD_LAW","tort","","","",false,"FABRICATED — planted by W&C in mock dataset; this case does not exist"
"Morrison Holdings Ltd v Blake [2021] EWCA Civ 555","Morrison Holdings Ltd v Blake",2021,"EWCA","GOOD_LAW","contract","","","",false,"FABRICATED — planted by W&C in mock dataset; this case does not exist"
"Hamilton Estates Ltd v Croft & Sons [2018] UKSC 44","Hamilton Estates v Croft",2018,"UKSC","GOOD_LAW","property","","","",false,"FABRICATED — third planted case for demo"
"Ruxley Electronics and Construction Ltd v Forsyth [1996] AC 344","Ruxley Electronics v Forsyth",1996,"UKHL","GOOD_LAW","contract","Cost of cure damages only available where not disproportionate — diminution in value is the alternative measure","Reasonable expectations of amenity can found cost of cure even without financial loss","",true,""
"Photo Production Ltd v Securicor Transport Ltd [1980] AC 827","Photo Production v Securicor",1980,"UKHL","GOOD_LAW","contract","Fundamental breach does not automatically displace exclusion clauses — doctrine rejected","Parties may exclude liability for any breach including fundamental breach if clearly expressed","",true,""
"Transfield Shipping Inc v Mercator Shipping Inc (The Achilleas) [2008] UKHL 48","The Achilleas",2008,"UKHL","GOOD_LAW","contract","Remoteness: defendant only liable for losses within scope of assumed contractual responsibility","Supplementary to Hadley v Baxendale — applies where ordinary remoteness produces anomalous result","",true,""
"Attorney General v Blake [2001] 1 AC 268","Attorney General v Blake",2001,"UKHL","GOOD_LAW","contract","Account of profits available as exceptional remedy for breach of contract where just in all circumstances","Gain-based damages — exceptional remedy requiring legitimate interest beyond compensation","",true,""
"Chartbrook Ltd v Persimmon Homes Ltd [2009] UKHL 38","Chartbrook v Persimmon",2009,"UKHL","GOOD_LAW","contract","Interpretation: court may correct obvious mistakes — literal meaning yields to clear commercial purpose","Prior negotiations inadmissible; factual matrix relevant","",true,""
"Marks and Spencer plc v BNP Paribas Securities Services [2015] UKSC 72","Marks and Spencer v BNP Paribas",2015,"UKSC","GOOD_LAW","contract","Implied terms: business efficacy and officious bystander tests both required — term must be necessary not merely reasonable","Restricts implication — courts should not improve on parties' bargain","",true,""
"Arnold v Britton [2015] UKSC 36","Arnold v Britton",2015,"UKSC","GOOD_LAW","contract","Contract interpretation: natural and ordinary meaning takes priority — commercial common sense cannot override clear language","Reaffirms primacy of textual interpretation","",true,""
"Patel v Mirza [2016] UKSC 42","Patel v Mirza",2016,"UKSC","GOOD_LAW","contract","Illegality: range of factors — court balances policy proportionality and public interest","Overruled Tinsley v Milligan — replaced with multi-factor balancing","",true,""
"One Step Support Ltd v Morris-Garner and another [2018] UKSC 20","One Step Support v Morris-Garner",2018,"UKSC","GOOD_LAW","contract","Negotiating damages available where claimant has legitimate interest in preventing breach — not automatic","Clarifies when gain-based damages available","",true,""
"Triple Point Technology Inc v PTT Public Company Ltd [2021] UKSC 29","Triple Point Technology v PTT",2021,"UKSC","GOOD_LAW","contract","Limitation clauses: accrued rights survive termination unless clause clearly excludes","Resolves conflict on whether delay clauses survive termination","",true,""
"Bunge Corporation v Tradax Export SA [1981] 1 WLR 711","Bunge Corporation v Tradax",1981,"UKHL","GOOD_LAW","contract","Time stipulations in commercial contracts presumptively conditions — breach entitles termination","Commercial certainty favours strict time stipulations","",true,""
"WM Morrison Supermarkets plc v Various Claimants [2020] UKSC 12","Morrison v Various Claimants",2020,"UKSC","GOOD_LAW","tort","Employer not vicariously liable for employee deliberate wrongful act absent close connection to authorised duties","Restricts vicarious liability","",true,""
"Armes v Nottinghamshire County Council [2017] UKSC 60","Armes v Nottinghamshire CC",2017,"UKSC","GOOD_LAW","tort","LA vicariously liable for foster carers — authority exercised sufficient control over placement","Extends vicarious liability to non-employee relationships","",true,""
"Belhaj v Straw [2017] UKSC 3","Belhaj v Straw",2017,"UKSC","GOOD_LAW","tort","State immunity: domestic courts may not adjudicate on sovereign acts of foreign states","Foreign act of state doctrine confirmed","",true,""
"Spiliada Maritime Corporation v Cansulex Ltd [1987] AC 460","Spiliada v Cansulex",1987,"UKHL","GOOD_LAW","procedure","Forum non conveniens: stay where another forum is clearly more appropriate — burden on applicant","Two-stage test: appropriate forum; exceptional circumstances","",true,""
"DC Thomson & Co Ltd v Deakin [1952] Ch 646","DC Thomson v Deakin",1952,"EWCA","GOOD_LAW","tort","Direct inducement to breach requires only knowledge of the contract's existence — not detailed knowledge of its terms","Distinguishes direct inducement (no unlawful means needed) from indirect inducement (unlawful means required)","https://www.bailii.org/ew/cases/EWCA/Civ/1952/1.html",true,""
"Anglia Television Ltd v Reed [1972] 1 QB 60","Anglia Television v Reed",1972,"EWCA","GOOD_LAW","contract","Reliance damages: claimant may recover pre-contract expenditure wasted as a result of defendant's breach","Does NOT establish expectation damages — recovers wasted expenditure only; defendant repudiated before filming began","",true,""
"Robinson v Harman (1848) 1 Ex 850","Robinson v Harman",1848,"Exchequer","GOOD_LAW","contract","Expectation damages: the claimant is entitled to be put in the same position as if the contract had been performed — recovery of lost profits","Foundational authority for expectation damages as primary measure of contract loss — distinct from reliance damages (Anglia TV v Reed) and gain-based damages (Wrotham Park)","",true,""
"Wrotham Park Estate Co Ltd v Parkside Homes Ltd [1974] 1 WLR 798","Wrotham Park v Parkside Homes",1974,"EWHC","GOOD_LAW","equity","Negotiating damages: court awards a percentage of the defendant's gains — the hypothetical price for release of the covenant","Gain-based remedy based on defendant's profit — NOT compensation for claimant's own lost profits or future earnings","",true,""
"Pemberton Aerospace Systems Ltd v Delta Global Ventures Inc [2023] EWHC 892 (TCC)","Pemberton Aerospace v Delta Global",2023,"EWHC","GOOD_LAW","procurement","","","",false,"FABRICATED — planted by W&C in mock dataset for hackathon; this case does not exist in BAILII"
"Stonegate Capital Partners Ltd v Redwood Procurement Group [2021] EWHC 3312 (Ch)","Stonegate Capital v Redwood",2021,"EWHC","GOOD_LAW","contract","","","",false,"FABRICATED — planted by W&C in mock dataset for hackathon; this case does not exist in BAILII"
"Fairfax International Logistics Ltd v Brennan Holdings plc [2019] EWHC 1847 (Comm)","Fairfax International v Brennan Holdings",2019,"EWHC","GOOD_LAW","tort","","","",false,"FABRICATED — planted by W&C in mock dataset for hackathon; this case does not exist in BAILII"
